[lrno],[vesselname],[owner],[shipmanager],[operator],[flag],[dwt],[loa],[breadth],[depth],[statdecode]
9686340,NEW ACHIEVEMENT,New Achievement Shipping Co,Associated Maritime Co HK Ltd,China Merchants Energy Shpg,HKG,318906,332.9500122,60,30.5,Crude Oil Tanker
9274446,CAP PIERRE,Euronav NV,Euronav NV,Euronav NV,GRC,159083,274.2980042,48,23.20000076,Crude Oil Tanker
9686352,NEW COURAGE,New Courage Shipping Co Ltd,Associated Maritime Co HK Ltd,China Merchants Energy Shpg,HKG,318989,332.9500122,60,30.5,Crude Oil Tanker
9689976,NEW DREAM,New Dream Shipping Co Ltd,Associated Maritime Co HK Ltd,China Merchants Energy Shpg,HKG,318570,333,60,30.60000038,Crude Oil Tanker
9280885,ASTRO PHOENIX,Phoenice ENE,Pantheon Tankers Management,Pantheon Tankers Management,GRC,159055,274.0700073,48,23.10000038,Crude Oil Tanker
9693745,MILTIADIS JUNIOR,Miltiadis Junior Carriers Corp,Capital Ship Management Corp,Capital Ship Management Corp,LIB,320926,333,60,30.5,Crude Oil Tanker
9698771,COSFLYING LAKE,Cosflying Lake Maritime Ltd,Dalian Ocean Shipping Co Ltd,Dalian Ocean Shipping Co Ltd,HKG,309436,333,60,30,Crude Oil Tanker
9696773,ALFA BALTICA,Shinobu Shipping,Lundqvist Rederierna AB,Lundqvist Rederierna AB,BAH,106373,228.6000061,42,21.45000076,Crude Oil Tanker
9282053,ESTHER SPIRIT,Esther Spirit LLC,Teekay Marine Singapore,Teekay Shipping Singapore,BAH,115444,249.845993,43.79999924,21.29999924,Crude Oil Tanker
9700691,DELTA MARIA,Delta Maria ENE,Delta Tankers Ltd,Delta Tankers Ltd,GRC,149990,274,48,23.10000038,Crude Oil Tanker
9700706,DELTA EURYDICE,Starlet Maritime Ltd,Delta Tankers Ltd,Delta Tankers Ltd,LIB,149990,274,48,23.10000038,Crude Oil Tanker
9466570,ADVANTAGE START,Advantage Start Shipping LLC,Shell Western Supply & Trading,Shell Western Supply & Trading,MAI,156639,274.5,48,23.70000076,Crude Oil Tanker
9500716,SEEB,Seeb Maritime Transportation,Oman Ship Management Co SAOC,Oman Ship Management Co SAOC,MTA,319439,333,60,30.5,Crude Oil Tanker
9529956,INGRID,Euronav Shipping NV,Euronav NV,Tankers UK Agencies Ltd,BLG,318478,333.1400146,60,30.39999962,Crude Oil Tanker
9537745,SARA,Euronav Tankers NV,Euronav NV,Tankers UK Agencies Ltd,FIS,323183,332,60,30.5,Crude Oil Tanker
9223887,SAFWA,BAHRI,Mideast Ship Management Ltd,Mideast Ship Management Ltd,BAH,303138,333.2770081,58,31.25,Crude Oil Tanker
9258519,BW LION,Macstar,BW Maritime Pte Ltd,BW Maritime Pte Ltd,HKG,298563,332,58,31.20000076,Crude Oil Tanker
9224465,SCF SAYAN,Amber Tankers Inc,SCF Unicom Singapore Pte Ltd,SOVCOMFLOT,LIB,159184,274.480011,48,23.10000038,Crude Oil Tanker
9224805,KOS,Kos Shipping Co,Aeolos Management SA,Andros Maritime Agencies Ltd,MTA,305870,332,58,31,Crude Oil Tanker
9258521,BW LAKE,Impex,BW Maritime Pte Ltd,BW Maritime Pte Ltd,HKG,298564,332,58,31.20000076,Crude Oil Tanker
9191333,CONSTITUTION SPIRIT,1999 Constitution Trust,Teekay Marine Singapore,Teekay Shipping Singapore,MAI,104623,243.8399963,42,21.29999924,Crude Oil Tanker
9229374,SILIA T,Romeo Shipping Co Ltd,Tsakos Columbia Shipmanagement,PETROBRAS,LIB,164286,274.1900024,50,23.10000038,Crude Oil Tanker
9229386,NORDIC PASSAT,Nordic American Tankers Ltd,Orion Tankers Ltd,Orion Tankers Ltd,MAI,164274,274.2000122,50,23.10000038,Crude Oil Tanker
9220952,HARAD,BAHRI,Mideast Ship Management Ltd,Mideast Ship Management Ltd,BAH,303115,333.2770081,58,31.25,Crude Oil Tanker
9220964,MARJAN,BAHRI,Mideast Ship Management Ltd,Mideast Ship Management Ltd,BAH,302977,333.2770081,58,31.25,Crude Oil Tanker
9249324,FRONT SYMPHONY,Front Symphony GmbH & Co,Frontline Management AS,Frontline Ltd,LIB,149995,272,45.59999847,24,Crude Oil Tanker
9258894,BRITISH CURLEW,BP Shipping Ltd,BP Shipping Ltd,BP Shipping Ltd,IOM,114809,251.5599976,43.79999924,21.29999924,Crude Oil Tanker
9259692,BLS ADVANCE,Blue Lines Shipping LLC,Blue Lines Shipping Pte Ltd,Blue Lines Shipping Pte Ltd,LIB,84999,238.9400024,38,20,Crude Oil Tanker
9259707,MARIANNA V. V.,Clement Navigation SA,Avin International SA,Avin International SA,LIB,84999,238.9400024,38,20,Crude Oil Tanker
9250737,AFRICAN SPIRIT,African Spirit LLC,Teekay Marine Singapore,ConocoPhillips Co,BAH,151736,269.2000122,45.70000076,24.39999962,Crude Oil Tanker
9259721,DA MING HU,Dalian Ocean Shipping Co Ltd,Dalian Ocean Shipping Co Ltd,Blue Fin Tankers Inc,CHR,159149,274.7000122,48,24,Crude Oil Tanker
9252333,MARAN CORONA,Corona ENE,Maran Tankers Management Inc,Maran Tankers Management Inc,GRC,306093,332,58,31,Crude Oil Tanker
9253117,NAVE CELESTE,Sikinos Shipping Corp,Univan Ship Management Ltd,Navios Maritime Acquisition,HKG,298717,332,58,31.20000076,Crude Oil Tanker
9253909,ASTRA,Astra mbH & Co,Heidmar Inc,Blue Fin Tankers Inc,MAI,149995,272,45.59999847,24,Crude Oil Tanker
9284946,AUSTRALIS,Australis Shipping Inc,Chandris Hellas Inc,Chandris Hellas Inc,GRC,299095,329.9899902,60,29.70000076,Crude Oil Tanker
