,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Notre Dame,8,4,.667,1,0,1.000,30.7,21.8,11.10,4.10,19,5,5,
New Mexico State,5,6,.455,2,0,1.000,22.0,26.3,-9.97,-8.60,,,,
Connecticut,6,6,.500,2,1,.667,19.8,26.1,-5.19,-3.44,,,,
Liberty,8,4,.667,2,2,.500,28.3,24.9,-1.74,-5.74,,,19,
Massachusetts,1,11,.083,0,4,.000,12.5,31.1,-19.59,-4.67,,,,
Army,5,6,.455,2,0,1.000,29.4,23.0,-0.79,-4.52,,,,
BYU,7,5,.583,0,2,.000,31.9,30.0,1.78,0.11,,25,12,
